product_id,name,category,brand,price,description,in_stock,base_rating,created_date
1,Huawei SE 2023,Смартфоны,Huawei,149367.71,Высокопроизводительный смартфон с отличной камерой и быстрой зарядкой. Huawei - это гарантия качества и надежности.,True,4.16,2025-04-06
2,Huawei Plus 2023,Смартфоны,Huawei,49123.49,Мощный процессор и долгая работа от батареи. Huawei - это гарантия качества и надежности.,True,3.53,2024-10-27
3,Huawei Plus 2024,Смартфоны,Huawei,115704.25,Высокопроизводительный смартфон с отличной камерой и быстрой зарядкой. Huawei - это гарантия качества и надежности.,True,3.51,2025-07-23
4,Samsung Ultra 2024,Смартфоны,Samsung,80442.5,Высокопроизводительный смартфон с отличной камерой и быстрой зарядкой. Samsung - это гарантия качества и надежности.,True,4.35,2025-02-07
5,Samsung Plus 2024,Смартфоны,Samsung,128610.94,Высокопроизводительный смартфон с отличной камерой и быстрой зарядкой. Samsung - это гарантия качества и надежности.,True,4.29,2025-06-21
6,Xiaomi Pro 2024,Смартфоны,Xiaomi,37741.21,Мощный процессор и долгая работа от батареи. Xiaomi - это гарантия качества и надежности.,True,4.38,2025-07-03
7,Huawei Ultra 2023,Смартфоны,Huawei,44250.78,Высокопроизводительный смартфон с отличной камерой и быстрой зарядкой. Huawei - это гарантия качества и надежности.,False,4.19,2025-02-05
8,Apple Mini 2023,Смартфоны,Apple,67733.48,Современный дизайн и передовые технологии в одном устройстве. Apple - это гарантия качества и надежности.,True,4.28,2025-08-26
9,Huawei Max 2023,Смартфоны,Huawei,65577.03,Высокопроизводительный смартфон с отличной камерой и быстрой зарядкой. Huawei - это гарантия качества и надежности.,True,3.52,2025-09-05
10,Apple Ultra 2023,Смартфоны,Apple,106794.54,Высокопроизводительный смартфон с отличной камерой и быстрой зарядкой. Apple - это гарантия качества и надежности.,True,4.65,2024-10-14
11,Samsung Mini 2023,Смартфоны,Samsung,20941.69,Мощный процессор и долгая работа от батареи. Samsung - это гарантия качества и надежности.,True,3.93,2024-12-06
12,Samsung SE 2023,Смартфоны,Samsung,141134.19,Современный дизайн и передовые технологии в одном устройстве. Samsung - это гарантия качества и надежности.,False,3.66,2025-06-02
13,Apple Ultra 2024,Смартфоны,Apple,38438.91,Современный дизайн и передовые технологии в одном устройстве. Apple - это гарантия качества и надежности.,True,3.52,2025-06-03
14,Huawei Max 2023,Смартфоны,Huawei,103824.83,Современный дизайн и передовые технологии в одном устройстве. Huawei - это гарантия качества и надежности.,True,3.98,2025-08-16
15,Samsung Plus 2024,Смартфоны,Samsung,118618.59,Современный дизайн и передовые технологии в одном устройстве. Samsung - это гарантия качества и надежности.,False,3.63,2024-12-19
16,OnePlus Max 2024,Смартфоны,OnePlus,144469.69,Мощный процессор и долгая работа от батареи. OnePlus - это гарантия качества и надежности.,True,4.32,2025-03-05
17,Samsung Ultra 2023,Смартфоны,Samsung,100772.72,Мощный процессор и долгая работа от батареи. Samsung - это гарантия качества и надежности.,True,4.61,2025-01-16
